Name,X,Y,POP,NMV,SUM
Zorenci,45.54083,15.20051,36,154,3
Hrastje pri Cerkljah,45.9,15.5,134,154,4
Drama,45.87064,15.33812,95,154,5
Cresnjice pri Cerkljah,45.89392,15.50887,241,154,6
Brege,45.92086,15.5001,252,154,24
Jerneja Vas,45.55362,15.15325,66,155,8
Pristava pri Leskovcu,45.88833,15.45472,89,155,10
Mali Podlog,45.91114,15.45179,110,155,10
Buseca Vas,45.86848,15.51987,142,155,15
Grm pri Podzemlju,45.62077,15.27719,53,155,18
Dobruska Vas,45.88917,15.30806,338,155,20
Grintovec,45.49922,13.69413,98,156,1
Bukosek,45.92888,15.62876,306,156,1
Benica,46.50796,16.49356,84,156,3
Bracna Vas,46.01487,15.70623,48,156,5
Gabrje pri Dobovi,45.90671,15.65145,239,156,7
Gorica,45.9,15.48333,254,156,8
Trebez,45.94092,15.58179,277,157,14
Hrastovlje,45.51222,13.89972,154,158,3
Slogonsko,45.95232,15.7012,161,158,3
Loka,45.53667,13.88806,85,158,6
Velika Vas pri Krskem,45.92028,15.45972,266,158,39
Zgornji Obrez,45.93898,15.56429,175,159,2
Trimlini,46.54444,16.45861,305,159,3
Zamesko,45.88333,15.36667,99,159,5
Okljuka,45.60186,15.24229,13,159,24
Dobrava pri Skocjanu,45.87452,15.31872,197,159,25
Drnovo,45.91722,15.48472,428,159,32
Petisovci,46.52722,16.46139,859,160,3
Hrvatini,45.58278,13.75667,1232,160,21
Glogov Brod,45.94555,15.59545,124,160,29
Banuta,46.6025,16.41194,70,161,20
Sv. Peter,45.47194,13.68139,379,161,21
Dolnji Lakos,46.54831,16.43466,273,161,23
Vojna Vas,45.57332,15.20206,123,161,25
Otovec,45.59304,15.16688,54,162,7
Mostje,46.6067,16.42573,351,162,10
Sela pri Dobovi,45.91667,15.63333,575,162,13
Kozana,45.99278,13.55028,381,162,15
Podraga,45.80806,13.94972,309,163,2
Podgraceno,45.87453,15.6493,30,163,3
Genterovci,46.62139,16.40417,205,163,10
Dolga Vas,46.58778,16.44167,633,163,10
Kolomban,45.59036,13.74749,524,163,12
Kapca,46.55528,16.38278,441,163,23
Gaberje,46.55472,16.4,552,163,34
Gornji Lakos,46.55306,16.41806,421,163,35
Metlika,45.64722,15.31417,3273,163,64
Srednje Pijavsko,45.98806,15.43592,16,164,6
Nova Vas pri Mokricah,45.84864,15.68131,223,164,7
Radmozanci,46.61472,16.38361,244,164,8
Blatnik pri Crnomlju,45.56396,15.15694,153,164,10
Kvasica,45.54333,15.16139,52,164,29
Lendava,46.56494,16.45091,3129,164,59
Cerkvisce,45.58333,15.26667,78,165,2
Seki,45.45555,13.90084,9,165,5
Zitkovci,46.64139,16.37639,128,165,8
Velika Polana,46.57194,16.34694,929,165,10
Nozed,45.49704,13.63634,58,165,12
Groblje pri Prekopi,45.85,15.36667,207,165,12
Dragatus,45.52083,15.17556,251,165,29
Krsko,45.95915,15.49167,7097,165,177
Avce,46.0944,13.68817,240,166,4
Hotiza,46.54944,16.36028,773,166,23
Dolenje Gradisce pri Sentj.,45.84818,15.29089,116,166,24
Gorenje Kronovo,45.85,15.25,32,166,28
Gradno,46.0203,13.52466,51,167,2
Kamovci,46.62889,16.38361,111,167,2
,46.56721,16.31499,587,167,7
Globoko,45.955,15.62861,323,167,9
Trnje,46.5875,16.30833,564,167,13
Rozno,45.99273,15.43176,224,167,18
Podzemelj,45.61338,15.26793,139,167,21
Brezovec - Del,46.54378,16.34254,9,167,34
Zalog,45.79398,15.12036,137,168,3
Dobrava pod Rako,45.91259,15.37061,17,168,5
Skocjan,45.90667,15.29139,246,168,10
Mali Obrez,45.91197,15.65611,124,168,11
Potok,45.78333,15.1,251,168,17
Primostek,45.63333,15.3,142,168,19
Gomilica,46.60333,16.31194,673,168,19
Gruca,45.84576,15.37343,50,168,27
Zemelj,45.61214,15.27907,61,169,2
Dolina pri Lendavi,46.53917,16.50667,342,169,3
Krzisce,45.89821,15.3935,53,169,15
Vescica,46.52166,16.25784,357,170,5
Smalcja Vas,45.84886,15.3305,145,170,6
Srednja Bistrica,46.55417,16.27889,471,170,15
Nedelica,46.61667,16.33333,576,170,19
Opatje Selo,45.85083,13.58361,392,170,23
Straza,45.78,15.07278,1996,170,36
Srgasi,45.50917,13.69361,173,171,1
Strit,45.91667,15.33333,81,171,4
Globoka,46.51667,16.25,194,171,5
Gornja Bistrica,46.56667,16.26667,725,171,7
Zalog pri Skocjanu,45.91002,15.26193,51,171,8
Dolnja Bistrica,46.54,16.28861,612,171,9
Brezovica,46.6,16.33333,206,172,6
Lipa,46.60694,16.2875,581,172,10
Loke,45.79026,15.11194,54,172,14
Strehovci,46.65944,16.32556,235,172,14
Dobe,45.84741,15.40167,96,172,27
Turnisce,46.62778,16.32028,1509,172,32
Jelsevnik,45.57194,15.15456,121,173,1
Strocja Vas,46.5125,16.22389,492,173,5
Razkrizje,46.52167,16.28111,252,173,6
Cven,46.54722,16.21917,614,173,8
Filovci,46.66139,16.305,478,173,14
Ledeca Vas,45.84491,15.36256,85,173,15
Crensovci,46.55794,16.3041,1178,173,32
Spodnja Pohanca,45.94778,15.5657,119,173,33
Cesca Vas,45.80032,15.1271,128,174,3
Safarsko,46.52299,16.28778,298,174,3
Mota,46.55083,16.22639,351,174,4
Veckoti,45.81139,13.88139,10,174,9
Suhor pri Dol. Toplicah,45.75366,15.0338,64,174,18
Renkovci,46.63667,16.30278,622,174,20
Decno Selo,45.95225,15.60595,304,174,28
Dobrovnik,46.65139,16.3525,972,174,31
Bizeljsko,46.01494,15.69285,691,174,32
Cerovec pri Cresnjevcu,45.651,15.24345,62,175,5
Praprot,45.63925,15.21066,54,175,6
Podgora,45.80874,15.10131,183,175,7
Vavta Vas,45.7818,15.08019,410,175,7
Podnanos,45.79694,13.97139,395,175,25
Norsinci pri Ljutomeru,46.53944,16.17972,225,175,30
Odranci,46.58667,16.28028,1693,175,64
Melinci,46.57361,16.23667,808,176,9
Jelarji,45.58012,13.78646,176,176,24
Babici,45.50278,13.77944,263,176,24
Kanizarica,45.55,15.16667,583,176,26
Dolenji Bostanj,46.00944,15.29083,667,176,40
Ivanci,46.65972,16.2575,243,177,2
Kristanci,46.5588,16.18487,84,177,4
Lukavci,46.54333,16.15278,630,177,9
Beltinci,46.60528,16.24056,2394,177,80
Bozakovo,45.64658,15.38158,129,178,2
Brje pri Komnu,45.78389,13.72028,108,178,4
Cezanjevci,46.5225,16.15194,236,178,7
Draga,45.87008,15.28483,12,178,14
Preserje,45.87139,13.78778,466,178,17
Dolenjske Toplice,45.75657,15.05917,797,178,25
Meniska Vas,45.75986,15.0387,363,179,1
Cudno Selo,45.5653,15.21916,89,179,2
Lipovci,46.62833,16.22806,1097,179,6
Vrhje,45.95,15.68333,227,179,11
Veliko Mrasevo,45.88333,15.48333,262,179,21
Cepki,45.54842,13.84012,95,179,23
Dobravica,45.84551,15.32113,143,179,31
Podhosta,45.76111,15.03139,182,179,35
Ljutomer,46.52083,16.1975,3460,179,111
Mlajtinci,46.66667,16.23333,196,180,2
Banovci,46.5725,16.1675,199,180,2
Gibina,46.52167,16.30028,256,180,2
Pince,46.52778,16.52361,209,180,3
Grabe pri Ljutomeru,46.53583,16.12944,118,180,10
Smarjeta,45.88333,15.25,326,180,15
Dolenje Mokro Polje,45.83333,15.28333,147,180,25
Gumberk,45.834,15.2424,87,181,2
Brvi,45.8672,15.54205,45,181,8
Stari Grad,45.94932,15.53971,213,181,14
Smednik,45.90964,15.37607,79,181,24
Bratonci,46.61806,16.21917,698,181,93
Kljucarovci pri Ljutomeru,46.55278,16.13778,357,182,4
Sredisce ob Dravi,46.39417,16.26806,1124,182,4
Sedlarjevo,46.10028,15.61861,72,182,16
Doklezovje,46.60333,16.17806,901,182,20
Verzej,46.58361,16.16528,903,182,28
Boreci,46.55917,16.14139,289,182,45
Krapje,46.56667,16.21667,328,183,2
Branoslavci,46.52208,16.13186,168,183,5
Dekmanca,46.0825,15.63194,107,183,8
Grabe,46.39706,16.25569,136,183,8
Kobilje,46.68472,16.39778,618,183,10
Dolenja Vas pri Krskem,45.95249,15.5495,230,183,14
Podturn pri Dol. Toplicah,45.74111,15.04167,325,183,16
Lokve,45.60167,15.17389,514,183,30
Norsinci,46.67222,16.20861,267,184,2
Medana,45.98528,13.52139,234,184,10
Stara Nova Vas,46.58417,16.12278,348,184,12
Golobinjek ob Sotli,46.11667,15.6,48,184,13
Tesanovci,46.6825,16.24694,371,184,30
Frankovci,46.39833,16.20417,181,185,2
Drenovec pri Bukovju,46.02427,15.70606,132,185,5
Krstenica,46.07316,13.624,43,185,6
Preloka,45.46667,15.35,123,185,7
Vucja Vas,46.59944,16.1075,252,185,9
Bakovci,46.61889,16.15028,1491,185,9
Iljasevci,46.57444,16.13056,211,185,12
Bogojina,46.67611,16.28389,537,185,16
Volarje,46.20991,13.67165,239,185,19
Stara Lipa,45.48556,15.20028,93,185,29
Osek,45.9225,13.76611,405,185,33
Rakican,46.65167,16.20417,1560,185,66
Lopersice,46.4,16.2,191,186,6
Izakovci,46.58889,16.22111,827,186,12
Dolenja Vas pri Articah,45.95452,15.56003,99,186,14
Gancani,46.6325,16.25111,1027,186,17
Gorenji Maharovec,45.84094,15.30815,66,186,31
Vinica,45.46015,15.25396,241,186,34
Brestanica,45.99529,15.4775,993,186,46
Logarovci,46.54722,16.10556,286,187,5
Sv. Anton,45.52583,13.83194,1736,187,17
Novo Mesto,45.80397,15.16886,23341,187,563
Pusenci,46.40033,16.17995,248,188,4
Kubed,45.52306,13.87139,179,188,6
Precna,45.81667,15.11667,444,188,7
Radomerje,46.50417,16.185,187,188,8
Krog,46.63806,16.14139,1132,188,8
Trebizani,45.81444,13.90667,12,188,9
Brezje pri Senusah,45.93333,15.43333,89,188,9
Lesnica,45.83062,15.20528,103,188,25
Moravske Toplice,46.68313,16.2208,735,188,29
Kapele,45.93333,15.68333,239,188,36
Zupelevec,45.95917,15.68722,211,188,37
Rucetna Vas,45.61667,15.16667,146,188,41
Kokorici,46.55528,16.09861,132,189,5
Berkovci,46.55278,16.08306,146,189,5
Zihlava,46.55169,16.04318,77,189,21
Radna,46.00403,15.29725,106,189,25
Sutna,45.85704,15.49442,124,190,2
Curile,45.6568,15.33327,139,190,5
Kanal,46.08861,13.63972,1269,190,19
Imeno,46.13194,15.60167,297,190,24
Martjanci,46.68639,16.19778,539,190,25
Nemcavci,46.68028,16.17806,245,190,38
Dol,45.49576,15.05196,22,191,2
Murski Crnci,46.63889,16.11667,414,191,8
Polana,46.68417,16.14139,209,191,9
Bucecovci,46.58833,16.10667,265,191,9
Markisavci,46.68417,16.16861,185,191,11
Prelasko,46.11056,15.60444,69,191,13
Crmosnjice pri Stopicah,45.77582,15.19141,399,191,37
,46.65573,16.13903,541,191,46
Satahovci,46.62955,16.11889,299,192,4
Tropovci,46.65361,16.10333,521,192,4
Sitarovci,46.52353,16.0815,31,192,7
Srebrnice,45.79036,15.12943,112,192,14
Tisina,46.65806,16.09167,404,192,28
Cernelavci,46.66667,16.13333,1272,192,39
Murska Sobota,46.6625,16.16639,11614,192,276
Krmacina,45.66018,15.38975,20,193,1
Kupsinci,46.67361,16.11972,362,193,15
Gradisce,46.64778,16.10889,328,193,22
Sentjernej,45.84,15.33611,1423,193,55
Dolnje Brezovo,45.99611,15.36722,158,194,2
Vrh pri Povrsju,45.92627,15.36853,43,194,3
Dednja Vas,45.98724,15.63985,179,194,3
Obrez,46.39972,16.23194,528,194,4
Bolehnecici,46.55417,16.05722,129,194,5
Dolenja Vas,45.82631,15.21823,100,194,11
Zbure,45.90556,15.24306,162,194,18
Srednji Radenci,45.46836,15.09406,28,195,4
Selce pri Leskovcu,45.94412,15.45201,48,195,9
Goli Vrh,45.91008,15.38356,16,195,11
Hrastje-Mota,46.61472,16.08583,360,195,12
Mala Cikava,45.80594,15.20151,115,195,51
Rakovec,45.64807,15.39308,45,196,1
Prapretno,46.03517,15.23049,77,196,2
Trgovisce,46.41611,16.09611,225,196,2
Tusev Dol,45.58333,15.15,76,196,3
Skrjance pri Novem Mestu,45.78333,15.15,47,196,4
Borejci,46.68278,16.10167,248,196,5
Radoslavci,46.52833,16.10333,297,196,5
Vanca Vas,46.67028,16.09806,495,196,9
Radece,46.06806,15.18389,2168,196,11
Jurka Vas,45.77966,15.09299,169,196,16
Petanjci,46.65333,16.06611,667,196,61
Cvetkovci,46.40926,16.06707,459,197,1
Gorenja Vas pri Leskovcu,45.92563,15.45579,136,197,2
Zunici,45.48429,15.36821,51,197,5
Lutrsko Selo,45.84795,15.23655,181,197,11
Idrija pri Baci,46.14,13.77972,290,197,14
Desinec,45.56064,15.23753,55,198,2
Centiba,46.55556,16.4975,839,198,3
Sela,46.12676,15.58278,137,198,4
Vogricevci,46.51765,16.1165,164,198,5
Libna,45.96028,15.5175,171,198,6
Predanovci,46.69639,16.12611,183,198,10
Murski Petrovci,46.66611,16.05556,111,199,1
Purga,45.52806,15.30611,31,199,5
Dolenja Trebusa,46.09139,13.84028,286,199,11
Hum,45.99306,13.5825,296,199,12
Gradisce pri Vipavi,45.83556,13.9675,225,199,24
Bistrica ob Sotli,46.05889,15.66417,272,199,24
Sratovci,46.65306,16.03,182,199,27
Dolnji Kot,45.79306,14.97833,60,199,29
Catez ob Savi,45.88944,15.6025,319,199,50
Biserjane,46.57223,16.0303,77,200,2
Tribuce,45.55,15.25,328,200,3
Prelesje,45.48962,15.06291,26,200,4
Kursinci,46.52736,16.06999,162,200,5
Gederovci,46.68361,16.0525,175,200,8
Krajna,46.69,16.05056,293,200,8
Velika Nedelja,46.41778,16.10972,305,200,16
Turjanci,46.62917,16.06917,99,200,24
Gorjansko,45.80417,13.7125,263,201,4
Cresnjevec pri Semicu,45.655,15.23278,98,201,5
Podlipa,45.91414,15.37707,45,201,12
Volce,46.1754,13.70785,588,201,27
Tolmin,46.18304,13.73321,3534,201,53
Oslusevci,46.41306,16.05139,197,202,1
Brje,45.86329,13.81739,384,202,5
Pirsenbreg,45.96434,15.64459,266,202,6
Zavrc,46.39167,16.04972,77,202,16
Prapetno,46.17068,13.75521,113,202,19
Drenovec,45.4644,15.24024,150,202,29
Osp,45.56833,13.86472,174,202,35
Sodisinci,46.67444,16.05083,227,203,1
Dragotinci,46.58361,16.03639,130,203,2
Klavze,46.15996,13.80324,80,203,4
Mrzlava Vas,45.87741,15.58068,168,203,5
Kostabona,45.48,13.73944,229,203,9
Rihtarovci,46.63306,16.05528,114,203,12
Cakova,46.58039,16.0157,81,203,17
Motvarjevci,46.70694,16.35,156,204,8
Pavlovci,46.42202,16.17415,216,204,8
Mala Vas,46.38983,16.00999,267,204,8
Pristava pri Mestinju,46.19667,15.59611,210,204,12
Omota,45.65705,15.21957,55,205,3
Dolenjci,45.53307,15.2938,92,205,3
Dol pri Hrastovljah,45.50139,13.9125,107,205,3
Bojsno,45.96304,15.666,211,205,6
Sela pri Raki,45.92071,15.39905,101,205,7
Formin,46.41056,16.03528,341,205,8
Brezovci,46.70833,16.12306,255,205,10
Radenci,46.64201,16.03781,2201,205,26
Puconci,46.70667,16.15639,638,205,64
Vrhovo,46.04028,15.21667,250,206,2
Gajevci,46.40306,16.02472,295,206,4
Spodnji Kamenscak,46.51057,16.17768,408,206,4
Skakovci,46.70778,16.05111,207,206,8
Sevnica,46.00778,15.31556,4660,206,8
Dol,45.85251,15.47817,33,207,2
Jama pri Dvoru,45.80864,14.9611,99,207,4
Kot ob Kolpi,45.4892,15.07052,2,207,8
Drenovec pri Leskovcu,45.94089,15.41646,58,207,9
Lesnica,46.43704,16.13282,196,208,3
Boldraz,45.6726,15.3424,51,208,4
Rajec,45.85193,15.67367,81,208,6
Hotemez,46.05256,15.19656,85,208,8
Gracnica,46.10799,15.22156,38,209,2
Ladra,46.23709,13.60595,150,209,5
Nova Vas pri Markovcih,46.38333,15.93333,410,209,12
Strelac,45.87618,15.25421,43,209,16
Kamno,46.21374,13.63699,226,209,19
Ratez,45.81599,15.23974,391,209,31
Leskovec pri Krskem,45.93566,15.47184,1021,209,109
Ucakovci,45.44913,15.22146,116,210,3
Ribnica,45.85833,15.66667,123,210,3
Gorisnica,46.41472,16.01389,788,210,4
Postena Vas,45.86359,15.53044,48,210,5
Mala Nedelja,46.52889,16.05583,100,210,7
Spodnji Ivanjci,46.59556,15.98139,147,210,9
