Kraj,X,Y,Pop,NMV,SUM
Dobje,46.02677,15.08299,7,700,0
Sveta Ana pri Lozu,45.73741,14.45227,7,724,0
Belica,45.56948,14.72016,7,541,0
Gaspinovo,45.78747,14.6527,7,710,0
Rigelj pri Ortneku,45.79205,14.66816,7,616,0
Stanise,46.12135,14.26079,7,808,0
Bostetje,45.81892,14.54823,7,774,0
Plosovo,45.80285,14.60642,7,578,0
Strmec,45.82152,14.63885,7,576,0
Kramplje,45.79163,14.52261,7,746,0
Lahovo,45.79775,14.51544,7,739,0
Poden,45.49659,14.90423,7,332,0
Nova Stifta,45.74641,14.66457,7,598,0
Sela pri Ajdovcu,45.81516,15.02615,7,496,0
Podvrh,45.54418,14.69948,7,495,0
Petrina,45.46573,14.85062,7,253,0
Zgonce,45.83167,14.58611,8,598,0
Mala Gora,45.69083,14.86833,8,482,0
Dolenja Podgora,45.53765,15.08376,8,648,0
Bavsica,46.3698,13.63148,8,820,0
Rudolfovo,45.84825,14.47127,8,809,0
Skofi,45.7832,13.73656,8,223,0
Dilici,45.49111,13.77051,8,286,0
Selce,46.01552,15.04454,8,547,0
Pogonik,46.08434,14.82139,8,285,0
Mackovec pri Suhorju,45.70963,15.24642,8,622,0
Radosi,45.69786,15.35742,8,452,0
Nose,46.33306,14.22952,8,495,0
Levstiki,45.79488,14.64407,8,678,0
Skrajnek,45.81053,14.68495,8,706,0
Znojile pri Studencu,45.96451,15.2829,8,408,0
Bogo,45.78644,13.91691,8,495,0
Rakovnik,45.82894,15.37267,8,250,0
Sloka Gora,45.89163,14.61993,8,600,0
Nanos,45.81876,14.0235,8,936,0
Andrejcje,45.80582,14.49858,8,716,0
Planina,45.4835,14.85659,8,481,0
Borovec pri Karlovici,45.79833,14.58547,8,669,0
Kamenica,45.68191,15.36522,8,307,0
Vrtaca,45.82081,15.46944,8,475,0
Brezovica pri Crmosnjicah,45.64939,15.11352,8,560,0
Zgornji Cacic,45.545,14.71972,9,611,0
Krtinovica,45.80611,13.8775,9,344,0
Beka,45.60056,13.89444,9,426,0
Ajbelj,45.53278,14.85583,9,604,0
Klemencevo,46.27694,14.56778,9,611,0
Belo,46.03323,13.52566,9,251,0
Pirmane,45.83625,14.46971,9,712,0
Rakov Skocjan,45.78811,14.28846,9,597,0
Planina,46.00212,14.8007,9,566,0
Homec,46.2567,13.44699,9,548,0
Seki,45.45555,13.90084,9,165,0
Mirtovici,45.51319,14.78381,9,369,0
Silentabor,45.65362,14.20527,9,666,0
Grebenje,45.79657,14.62618,9,560,0
Sela nad Podmelcem,46.19111,13.80951,9,1057,0
Skamevec,45.86172,14.58424,9,582,0
Polsece,45.83189,14.49147,9,812,0
Rozance,45.80931,14.46492,9,729,0
Gorenja Zaga,45.5217,14.91056,9,380,0
Karlce,45.85584,15.43999,9,153,0
Gorenje Jelenje,46.04838,14.98896,9,795,0
Brdo pri Lukovici,46.17306,14.68302,9,388,0
Loska Gora,46.05385,15.18309,9,320,0
Bukovec pri Poljanah,45.81688,14.68173,9,707,0
Gric pri Trebnjem,45.90614,14.96917,9,317,0
Pecki,45.85258,14.55663,9,604,0
Pobrezje,45.53005,15.31202,9,175,0
Krizmani,45.54167,14.70803,9,435,0
Brezovec - Del,46.54378,16.34254,9,167,0
Jablaniski Potok,46.05155,14.8994,9,449,0
Todraz,46.08333,14.16667,10,577,0
Mali Rigelj,45.71715,15.0723,10,342,0
Krizna Gora,45.91861,13.98056,10,1013,0
Grudnica,46.11271,13.78909,10,869,0
Gorenje Grcevje,45.86132,15.16959,10,468,0
Brezje pri Roznem Dolu,45.67231,15.14599,10,412,0
Brezje pri Kumpolju,45.97936,14.99513,10,387,0
Veckoti,45.81139,13.88139,10,174,0
Sekirisce,45.86444,14.53833,10,764,0
Kamence,45.84822,15.5612,10,399,0
Nova Vas pri Jelsanah,45.50388,14.30754,10,559,0
Tuljaki,45.47317,13.87993,10,385,0
Strmo Rebro,45.97948,15.4338,10,347,0
Zurge,45.58351,14.70993,10,989,0
Perovo,45.79183,14.6149,10,672,0
Zukovo,45.80648,14.69677,10,783,0
Hrib pri Cerovcu,45.66247,15.24587,10,243,0
Loje,46.18698,13.83077,10,746,0
Adamovo,45.82327,14.60685,10,513,0
Kot pri Veliki Slevici,45.8118,14.61656,10,602,0
Scurki,45.88178,14.5934,10,465,0
Gotenc,45.491,14.88541,10,411,0
Grc Vrh,45.82734,15.07269,10,310,0
Novo Celje,46.24682,15.17588,10,252,0
Vrbje,45.82565,15.47358,10,460,0
Pristava pod Rako,45.91783,15.37336,10,189,0
Okrog,45.97387,14.98006,10,459,0
Kot pri Damlju,45.42495,15.17172,10,272,0
Porezen,46.18746,13.96152,10,900,0
Selce,46.21855,13.65017,10,391,0
Znojile,46.19611,13.92306,11,690,0
Tolminske Ravne,46.23627,13.77914,11,1120,0
Stankovo,45.87044,15.56313,11,211,0
Sapnik,45.49583,14.90972,11,278,0
Robidisce,46.21909,13.41725,11,643,0
Pikovnik,45.86417,14.41861,11,846,0
Naredi,45.81472,14.5525,11,754,0
Krzisce,45.85929,14.40888,11,807,0
Dolenje Poljane,45.68632,14.54131,11,992,0
Brunk,46.04057,15.18467,11,398,0
Osredek nad Sticno,46.00472,14.79583,11,589,0
Sibelji,45.84917,13.72139,11,365,0
Bec,45.85611,14.4167,11,812,0
Reparje,45.82733,14.44312,11,647,0
Betanja,45.66761,13.9945,11,404,0
Jelovica,46.14919,14.12969,11,865,0
Gabrje pri Ilovi Gori,45.89632,14.72185,11,383,0
Mali Kal,45.97457,14.85325,11,426,0
Trebelno pri Palovcah,46.20787,14.6506,11,516,0
Ljubez v Lazih,46.03194,14.9428,11,601,0
Suhadole,46.02652,15.03576,11,678,0
Berinjek,46.03359,15.03584,11,733,0
Pungert,45.59456,14.67772,11,591,0
Poljane nad Blagovico,46.19314,14.7862,11,676,0
Bozic Vrh,45.7041,15.23375,11,513,0
Skrilje,45.60161,15.27422,11,138,0
Dobrovscak,46.44853,16.13391,11,269,0
Pusti Hrib,45.79299,14.6542,11,686,0
Zlati Rep,45.80284,14.65588,11,619,0
Goriska Gora,45.92773,15.27528,11,274,0
Arcelca,45.87462,14.90305,11,461,0
Srnjak,45.86516,14.58228,11,496,0
Benete,45.77161,14.56381,11,797,0
Sleme,45.80132,14.45546,11,789,0
Skufce,45.80413,14.5228,11,768,0
Senadolice,45.73161,13.95953,11,461,0
Kovaca Vas,45.49497,15.06407,11,381,0
Zavrh,45.83111,14.50222,12,778,0
Trebizani,45.81444,13.90667,12,188,0
Lepi Vrh,45.81302,14.52647,12,762,0
Kanji Dol,45.90222,14.05194,12,1001,0
Kostel,45.50842,14.91005,12,357,0
Zlan,46.24407,13.91345,12,1148,0
Gorica,45.44503,15.15338,12,465,0
Lajse,46.14474,14.0721,12,793,0
Bakrc,45.80965,14.85162,12,372,0
Mala Goricica,45.98857,14.80258,12,583,0
Trebez,45.88636,14.81692,12,346,0
Kralji,45.53239,15.03202,12,615,0
Primozi,45.59837,14.78313,12,602,0
Pisari,45.4573,13.89744,12,184,0
Libelj,45.94589,15.44272,12,285,0
Prvine,46.19086,14.84986,12,727,0
Brezovica pri Medvodah,46.0958,14.35971,12,590,0
Lazna,46.02044,13.82673,12,588,0
Mahnici,45.77974,13.90269,12,241,0
Mali Moravscak,46.51957,16.01523,12,267,0
Zerjavin,45.82654,15.26866,12,190,0
Gabrnik,45.93117,15.26868,12,259,0
Centa,45.85768,14.55344,12,613,0
Travna Gora,45.74114,14.64547,12,884,0
Koske Poljane,46.04989,14.73824,12,655,0
Koprivnik,45.87915,15.39963,12,163,0
Draga,45.87008,15.28483,12,178,0
Cedem,45.84203,15.55733,12,459,0
Podstenjsek,45.60492,14.21914,12,519,0
Javorje,45.86546,14.59779,12,497,0
Zastava,45.58333,15.23333,13,178,0
Zala,45.86028,14.45861,13,840,0
Sovra,46.01667,14.11667,13,605,0
Kozjane,45.61694,14.08111,13,567,0
Grcarske Ravne,45.65889,14.75278,13,535,0
Gorenja Ravan,46.15,14.15,13,918,0
Dolnja Briga,45.52139,14.82083,13,606,0
Babna Polica,45.63946,14.51422,13,898,0
Dobje,45.98306,14.66639,13,489,0
Slugovo,45.82158,14.46088,13,671,0
Pavlica,45.52032,14.19803,13,624,0
Male Pece,45.91542,14.8388,13,349,0
Paka pri Predgradu,45.5167,15.08666,13,401,0
Kocno,45.96697,15.41567,13,432,0
Pijana Gora,45.94271,15.39014,13,263,0
Selo,45.86221,15.45409,13,149,0
Ceplje,46.02261,14.98857,13,624,0
Okljuka,45.60186,15.24229,13,159,0
Travni Dol,45.69647,15.1123,13,498,0
Bezgovica,45.55169,14.72646,13,1005,0
Trebnji Vrh,45.63492,15.16846,13,238,0
Kregolisce,45.78732,13.7409,13,230,0
Gorski Vrh,46.13439,13.86982,13,888,0
Kneske Ravne,46.22032,13.83322,13,832,0
Prhajevo,45.83915,14.6197,13,530,0
Podporezen,46.19776,14.00245,13,864,0
Laze pri Kostelu,45.47459,14.83055,13,390,0
Janezi,45.75672,14.59157,13,814,0
Sinovica,45.76765,14.66356,13,719,0
Podstrm,45.82486,15.40514,13,298,0
Dole pod Sv. Trojico,46.13019,14.6907,13,393,0
Gradnje,45.77791,13.88614,13,365,0
Kovacji Grad,45.43744,15.21187,13,311,0
Zadolje,45.7025,14.72833,14,646,0
Ribnica,45.63222,14.16528,14,492,0
Luzarji,45.79972,14.56417,14,651,0
Dolenja Ravan,46.15013,14.14274,14,633,0
Prevale,46.02208,15.00824,14,672,0
Vale,45.81583,13.67306,14,163,0
Milava,45.82215,14.44582,14,646,0
Mocile,45.50089,15.10752,14,416,0
Speharji,45.44755,15.13913,14,284,0
Vodice,45.88456,14.66986,14,569,0
Unicno,46.15371,15.14378,14,608,0
Orehek pri Materiji,45.58609,14.06235,14,711,0
Bratnice,45.95988,14.91472,14,345,0
Stepani,45.55215,13.85483,14,179,0
Galantici,45.49261,13.87482,14,308,0
Govce,46.15481,15.16942,14,547,0
Vovse,46.12522,14.8765,14,676,0
Kumpolje,45.9789,15.0061,14,384,0
Bezgarji,45.56033,14.70954,14,497,0
Zadniki,45.78666,14.61719,14,679,0
Pugled,45.63698,15.19453,14,217,0
Cesnjice,45.96198,15.28856,14,422,0
Spitalic pri Slov. Konjicah,46.30898,15.40767,14,391,0
Ruhna Vas,45.87224,15.29635,14,180,0
Dolgi Laz,46.11468,13.74527,14,690,0
Gorenja Vas,45.88127,14.97729,14,258,0
Muhabran,45.93596,14.94729,14,362,0
Novake,46.3224,14.32124,14,456,0
Krkovo pri Karlovici,45.81473,14.60128,14,568,0
Pozarje,46.10755,14.9531,14,688,0
Osojnik,46.19016,14.11181,14,775,0
Skrabce,45.803,14.53348,14,774,0
Colnarji,45.49846,14.89308,14,471,0
Jaksici,45.48506,14.86969,14,414,0
Stara Gora pri Vel.Gabru,45.99182,14.90432,14,454,0
Ivanjse,45.83075,15.4064,14,210,0
Krizni Vrh,45.93021,15.12315,14,268,0
Mala Sela,45.51525,15.30518,14,263,0
Log pri Polhovem Gradcu,46.07512,14.36211,14,407,0
Vrh,45.82573,14.54955,14,787,0
Stari Kot,45.61639,14.63417,15,799,0
Razgorce,46.3,15.35,15,347,0
Radovna,46.42123,13.98178,15,694,0
Dolenja Lepa Vas,45.96813,15.4222,15,354,0
Gornje Ravne,45.96857,15.00337,15,382,0
Draga pri Sinjem Vrhu,45.43974,15.17271,15,400,0
Dragosi,45.5535,15.28168,15,197,0
Javorjev Dol,46.06902,14.04593,15,778,0
Rejcov Gric,46.00328,13.98409,15,843,0
Laze pri Predgradu,45.49923,15.01696,15,328,0
Cipnje,45.83531,13.8364,15,217,0
Jezevec,46.02349,15.0915,15,709,0
Vranke,46.17323,14.82141,15,519,0
Mlake,45.59884,15.25241,15,174,0
Golusnik,45.85371,15.17237,15,449,0
Ostrozno pri Locah,46.28404,15.48324,15,362,0
Selisce,46.21288,13.65792,15,223,0
Volcanski Ruti,46.14841,13.69423,15,515,0
Grm,45.84567,14.61649,15,509,0
Mohorje,45.82284,14.5413,15,779,0
Zaga,45.80776,14.58809,15,610,0
Povodje,46.14284,14.47968,15,319,0
Hrastnik,46.29318,15.36995,15,452,0
Bockovo,45.81668,14.48276,15,721,0
Mramorovo pri Pajkovem,45.80985,14.49211,15,700,0
Kaptol,45.53394,14.86012,15,543,0
Oskrt,45.49122,14.89719,15,480,0
Pirce,45.46964,14.85582,15,327,0
Zaborst,45.83919,15.39878,15,212,0
Breg pri Dobu,45.93716,14.86818,15,308,0
Dolenja Vas pri Temenici,45.9605,14.88482,15,331,0
Spodnje Slemene,46.29919,15.37658,15,418,0
Briga,45.51997,14.86334,15,570,0
Creta,46.27333,14.95986,15,857,0
Strojici,45.54669,14.69192,15,355,0
Videm pri Temenici,45.96968,14.87328,15,365,0
Volcja Jama,45.87462,14.93183,16,351,0
Strmec na Predelu,46.41651,13.60978,16,988,0
Srednje Pijavsko,45.98806,15.43592,16,164,0
Ples,45.76806,14.87611,16,508,0
Ortnek,45.78196,14.67531,16,692,0
Mlaka pri Kocevski Reki,45.63342,14.79374,16,813,0
Izvir,45.85,15.55,16,391,0
Gornji Vrh,45.9741,14.93131,16,519,0
Dolenje Kamenje pri Dobrnicu,45.88028,14.9325,16,358,0
Perisce,45.8473,15.66408,16,233,0
Slamniki,46.34009,14.02582,16,1320,0
Grize,45.94684,14.82429,16,347,0
Pristava nad Sticno,45.98869,14.8245,16,683,0
Liplje,46.20959,14.79774,16,748,0
Colnica,46.09649,13.62095,16,465,0
Gorenje Nekovo,46.10597,13.62571,16,527,0
Livske Ravne,46.19263,13.61761,16,1033,0
Goli Vrh,45.91008,15.38356,16,195,0
Zabrez,46.13244,15.22824,16,458,0
Brglez,45.97918,15.01692,16,378,0
Krzisce pri Catezu,45.98091,14.95306,16,469,0
Sirmanski Hrib,46.05277,14.79013,16,473,0
Boginja Vas,45.59102,15.25283,16,162,0
Krnce,45.78813,14.64536,16,705,0
Vintarji,45.79462,14.59653,16,655,0
Sela pri Vrcicah,45.65566,15.14916,16,455,0
Osredek pri Hubajnici,45.96048,15.31894,16,416,0
Slap,46.06327,15.20319,16,266,0
Potok,45.94557,14.93011,16,297,0
Reva,45.86821,14.98047,16,289,0
Laze,45.85721,14.58018,16,634,0
Podkogelj,45.81133,14.59783,16,621,0
Podkraj,45.81666,14.64708,16,618,0
Podklanec,46.00822,14.12762,16,502,0
Vinji Vrh,46.00354,14.9173,16,596,0
Pugled pri Mokronogu,45.93302,15.13355,16,371,0
Kriz,45.95113,15.01066,16,359,0
Gradisce,45.84321,14.57439,16,530,0
Abitanti,45.44525,13.83095,16,475,0
Spodnji Log,45.53333,15.01667,17,805,0
Ravne,45.96141,15.00556,17,411,0
Nova Oselica,46.09297,14.02497,17,775,0
Knezja Lipa,45.55,15.01667,17,612,0
Grant,46.21056,13.87972,17,910,0
Brezje pri Vinjem Vrhu,45.63044,15.18864,17,213,0
Zupeno,45.85361,14.41722,17,802,0
Log v Bohinju,46.28418,13.98455,17,578,0
Pristava,45.8903,14.366,17,538,0
Jersice,45.8408,14.47458,17,804,0
Tavzlje,45.84996,14.48106,17,808,0
Ostrovica,45.60961,14.05158,17,673,0
Fabci,45.49767,14.33714,17,663,0
Poljana,46.25501,14.70986,17,939,0
Dobrava pod Rako,45.91259,15.37061,17,168,0
Gradec,45.83824,15.50746,17,564,0
Modric,46.14217,15.21055,17,282,0
Slavina,46.0244,15.04739,17,644,0
Brezje,45.8243,15.25678,17,204,0
Andol,45.78833,14.63936,17,659,0
Brinovscica,45.78269,14.63392,17,698,0
Hojce,45.78008,14.64503,17,681,0
Jesovec,46.33084,15.63115,17,262,0
Gorenji Podborst pri V. Loki,45.94267,14.98451,17,314,0
Zabukovje,46.3393,15.30042,17,470,0
Lazina,45.77214,14.89335,17,485,0
Zagric,45.97998,14.93931,17,543,0
Rzisce,45.82027,15.38326,17,482,0
Perniki,46.3979,14.03089,17,874,0
Zgornji Petelinjek,46.17658,14.82782,17,458,0
Gorenja Vas pri Mokronogu,45.93412,15.11323,17,366,0
Zajcji Vrh,45.58013,15.1581,17,194,0
Tosko Celo,46.08333,14.41667,18,547,0
Robidnica,46.15,14.06667,18,827,0
Pusti Javor,45.99974,14.86961,18,359,0
Laze pri Gorenjem Jezeru,45.72278,14.39778,18,599,0
Jarse,46.10605,14.93654,18,609,0
Koboli,45.81592,13.87825,18,271,0
Creta pri Kokarjah,46.2891,14.95628,18,666,0
Mahneti,45.80831,14.43097,18,655,0
Podplece,46.12742,14.03254,18,718,0
Gradisce pri Divaci,45.68052,14.00461,18,428,0
Jazbine,46.14838,14.1544,18,777,0
Zalci,45.54674,14.18205,18,444,0
Trnovica,45.90023,14.86858,18,355,0
Paljevo,46.03421,13.61422,18,455,0
Lukovec,45.99272,15.02256,18,466,0
Klance,45.72142,14.43056,18,665,0
Lipa,46.1922,14.76727,18,651,0
Prilesje,46.18987,14.81656,18,627,0
Sveta Gora,45.99579,13.65842,18,574,0
Zgornje Slemene,46.30438,15.37077,18,416,0
Gornja Stara Vas,45.93192,15.22952,18,260,0
Vadice,46.34609,14.25394,18,474,0
Dednik,45.83743,14.55439,18,751,0
Medvedjek,45.81833,14.63152,18,576,0
Uzmani,45.8516,14.52944,18,859,0
Jezni Vrh,46.00511,14.90663,18,488,0
Mulhe,46.00218,14.89784,18,465,0
Laseno,46.20263,14.75659,18,735,0
Mala Sevnica,45.94655,15.00636,18,295,0
Gorenji Mokronog,45.92434,15.14577,18,381,0
Vrhovlje pri Kozbani,46.0442,13.51705,18,361,0
Jance,46.065,14.69649,19,505,0
Cesnjice,46.19188,14.77643,19,696,0
Blatnik pri Crmosnjicah,45.65,15.13333,19,502,0
Srednje Arto,45.97645,15.41341,19,358,0
Hude Ravne,46.01222,15.03833,19,472,0
Brdice pri Kozbani,46.04796,13.53522,19,314,0
Strazisce,45.84188,14.40245,19,924,0
Kamno Brdo,45.97001,14.76346,19,637,0
Marsici,45.4561,13.9126,19,186,0
Socerb,45.59167,13.86908,19,428,0
Zapodje,46.11094,14.80177,19,531,0
Straza,46.18708,14.6835,19,530,0
Koti,45.85714,15.17927,19,390,0
Padovo pri Osilnici,45.54113,14.71722,19,445,0
Zapuze pri Ribnici,45.7704,14.73057,19,672,0
Brezje,45.98976,15.19808,19,291,0
Gabrc,46.54387,16.00715,19,275,0
Berinjak,46.3198,15.9349,19,303,0
Cresnjevec,46.3015,15.35687,19,367,0
Dedni Vrh pri Vojniku,46.314,15.32162,19,375,0
Milici,45.49291,15.3588,19,258,0
Vimolj pri Predgradu,45.54276,15.03738,19,474,0
Malo Naklo,46.27487,14.32478,19,435,0
Zirovnica,46.01667,14.08333,20,642,0
Vatovlje,45.61778,14.05861,20,508,0
Rakulik,45.74083,14.13028,20,596,0
Pribisje,45.68333,15.16667,20,575,0
Prevoje,46.18333,14.81667,20,560,0
Police,46.12778,13.90139,20,557,0
Podzaga,45.8025,14.59667,20,553,0
Liplje,45.84306,14.2525,20,461,0
Baca pri Podbrdu,46.22389,13.97111,20,804,0
Otonica,45.80759,14.41771,20,688,0
Pavicici,45.57771,15.2444,20,169,0
Trobelno,46.24578,14.69858,20,682,0
Mladje,45.84666,15.47629,20,386,0
Senozete,45.97161,15.43906,20,424,0
Prezenjske Njive,46.03125,14.991,20,620,0
Korpe,46.16546,14.78967,20,638,0
Goveji Dol,45.98373,15.20256,20,312,0
Hrusovje,46.12664,15.44006,20,458,0
Vejice,46.07808,15.39838,20,631,0
Topolovec,46.26075,15.56132,20,284,0
Jamnik,45.97934,14.24076,20,642,0
Sveti Duh,45.79692,14.52253,20,753,0
Slavski Laz,45.48102,14.90516,20,236,0
Ravni Dol,45.72987,14.65337,20,956,0
Scit,46.02655,14.78114,20,475,0
Sajevce,45.86955,15.42713,20,166,0
Podboc,46.3024,15.59658,20,259,0
Breg pri Zagradcu,45.85824,14.85339,20,268,0
Spodnje Pijavsko,45.98427,15.44806,20,229,0
Log pri Zuzemberku,45.88468,14.91497,20,347,0
Premagovce,45.83581,15.52712,20,454,0
Krmacina,45.66018,15.38975,20,193,0
Polje pri Visnji Gori,45.94657,14.7556,20,355,0
Rudnik pri Moravcah,46.13268,14.73236,20,363,0
Zagozdac,45.52389,15.06111,21,389,0
Ribjek,45.53528,14.73083,21,325,0
Krvava Pec,45.86583,14.51472,21,771,0
Gorenji Podsumberk,45.88417,14.90139,21,411,0
Gorenja Podgora,45.53333,15.06667,21,401,0
Cateska Gora,45.9775,14.96722,21,484,0
Izgorje,46.01222,14.13972,21,688,0
Koritnica,45.94433,15.36104,21,311,0
Otosce,45.76056,14.02833,21,361,0
Dalnje Njive,45.43423,15.15656,21,393,0
Velika Sela,45.51507,15.28345,21,281,0
Kremenik,46.0912,14.20189,21,711,0
Selnik,45.90031,14.56018,21,541,0
Sneznik,45.57091,14.42487,21,1354,0
Laze pri Gobniku,45.99384,14.93236,21,591,0
Podpec pod Skalo,46.01767,14.9625,21,425,0
Log,46.19088,14.84091,21,694,0
Skemljevec,45.69574,15.23872,21,396,0
Dobovo,45.85504,15.24007,21,195,0
Marsici,45.79823,14.65843,21,628,0
Potoki,45.66744,15.14203,21,428,0
Praproce,45.675,15.23083,21,255,0
Starihov Vrh,45.62997,15.17307,21,233,0
Selo,45.80244,13.89602,21,470,0
Brezje pri Slov. Bistrici,46.35437,15.64193,21,273,0
Podob,46.3201,15.49431,21,282,0
