Kraj,X,Y,Pop,NMV,SUM
Lom nad Volco,46.14122,14.1702,46,555,0
Podgorica pri Podtaboru,45.93408,14.61633,46,346,0
Sad,45.91276,14.86957,46,413,0
Divci,45.81817,13.75567,46,255,0
Kozlovici,45.48801,13.82865,46,254,0
Kalisovec,46.02886,15.42957,46,378,0
Vosce,46.17867,14.77886,46,569,0
Podstran,46.14777,14.73057,46,499,0
Polhovica,45.84444,15.26794,46,178,0
Golobinjek pri Planini,46.09165,15.39913,46,475,0
Vezovje,46.18175,15.40963,46,347,0
Dule,45.90844,15.33398,46,160,0
Male Dole pri Stehanji Vasi,45.91404,14.91311,46,382,0
Razbore - Del,45.96683,14.94857,46,448,0
Stara Gora,45.92408,15.07873,46,388,0
Bistra,45.93627,14.33005,46,534,0
Brezovo,45.94647,15.34206,46,255,0
Beli Potok pri Frankolovem,46.34644,15.33077,46,454,0
Cadrg,46.25239,13.73593,46,653,0
Zavrsje,46.1,15.03333,47,853,0
Zakojca,46.16472,13.93278,47,726,0
Velike Vrhe,45.915,14.76556,47,530,0
Velike Vodenice,45.82987,15.38566,47,335,0
Tatre,45.59861,14.08778,47,738,0
Spodnja Dobrava,46.3,14.23333,47,481,0
Skrjance pri Novem Mestu,45.78333,15.15,47,196,0
Debenec,45.91667,15.1,47,505,0
Buje,45.655,14.0875,47,445,0
Bizeljska Vas,46.04231,15.69423,47,309,0
Artvize,45.61278,14.03056,47,764,0
Vinji Vrh,45.85256,15.52826,47,291,0
Laze,45.84878,15.63148,47,362,0
Krizevska Vas,46.10475,14.71711,47,462,0
Zagorica pri Rovah,46.18299,14.65594,47,418,0
Susa,46.13792,14.13851,47,549,0
Skoflje,45.93917,14.87657,47,339,0
Ukanje,46.08843,13.58793,47,417,0
Cretez pri Krskem,45.9676,15.46211,47,371,0
Prusnja Vas,45.8345,15.48204,47,510,0
Veliki Trn,45.96753,15.39516,47,408,0
Jelsa,46.18848,14.80588,47,528,0
Zlatenek,46.18859,14.79682,47,475,0
Planjsko,46.31593,15.775,47,416,0
Pogled,46.15076,14.74166,47,440,0
Leskovec,45.8135,15.27336,47,294,0
Brda,46.3352,14.14888,47,590,0
Kolacno,46.32672,15.50174,47,321,0
Petelinjek pri Locah,46.33252,15.5234,47,312,0
Kocki Vrh,46.55991,15.9696,47,285,0
Zalog pod Ursulo,46.28692,15.40212,47,339,0
Hudenje,45.89217,15.32684,47,175,0
Orkljevec,45.86006,15.11726,47,280,0
Jablance,45.84412,15.44637,47,315,0
Roje pri Trebelnem,45.88017,15.17999,47,443,0
Statenberk,45.88518,15.15313,47,352,0
Gorenje Brezovo,45.98353,14.73419,47,584,0
Straza pri Moravcah,46.13783,14.76653,47,392,0
Spodnje Mladetice,45.97674,15.16539,47,269,0
Podkraj pri Zagorju,46.13716,14.97515,47,347,0
Paka - Del,46.4305,15.25122,47,992,0
Zagorica,45.9548,15.01816,47,371,0
Vinji Vrh pri Semicu,45.63333,15.2,48,198,0
Velika Slevica,45.81472,14.61639,48,600,0
Sentozbolt,46.18475,14.85465,48,597,0
Male Brusnice,45.81667,15.25,48,204,0
Hrastenice,46.07511,14.3805,48,351,0
Gorenje Mokro Polje,45.83288,15.29373,48,201,0
Golobinjek ob Sotli,46.11667,15.6,48,184,0
Dolenji Suhor pri Vinici,45.49428,15.19388,48,160,0
Ogulin,45.46488,15.24932,48,195,0
Crnolica,46.20333,15.42139,48,265,0
Ravnje,45.7975,13.88528,48,370,0
Zavrhek,45.64806,14.01972,48,398,0
Bracna Vas,46.01487,15.70623,48,156,0
Postena Vas,45.86359,15.53044,48,210,0
Laznica,46.14926,13.98063,48,566,0
Perudina,45.47873,15.24215,48,275,0
Rozic Vrh,45.58509,15.09832,48,676,0
Kolenca Vas,45.78695,14.76701,48,417,0
Crneska Gora,46.58937,14.97097,48,857,0
Malenski Vrh,46.13846,14.15136,48,632,0
Pristavlja Vas,45.95367,14.8261,48,343,0
Brezovica pri Predgradu,45.55265,15.06693,48,580,0
Sirci,45.46722,13.84674,48,390,0
Vrbina,45.94081,15.5117,48,153,0
Doblatina,46.18425,15.27257,48,539,0
Smihel,46.15851,15.2238,48,405,0
Podsmrecje,46.17066,14.79462,48,503,0
Kuzarjev Kal,45.82764,15.11812,48,349,0
Hinje,46.00634,15.15936,48,308,0
Plese,45.99699,14.60762,48,448,0
Lipovec pri Skofji Vasi,46.2582,15.33623,48,276,0
Praproce pri Grosupljem,45.94919,14.67109,48,326,0
Selce pri Leskovcu,45.94412,15.45201,48,195,0
Mali Podljuben,45.7682,15.1185,48,235,0
Brezje pri Sentjerneju,45.83827,15.37332,48,193,0
Stehanja Vas,45.91524,14.92239,49,429,0
Spodnji Vrsnik,46.01667,14.1,49,687,0
Sela pri Visnji Gori,45.97718,14.77382,49,651,0
Rajndol,45.56694,14.94861,49,500,0
Potoce,45.72361,14.02028,49,544,0
Pokojnica,45.93167,14.88333,49,341,0
Mocvirje,45.95,15.31667,49,406,0
Mali Orehek,45.77757,15.23649,49,352,0
Jazbine,46.3,15.4,49,449,0
Hrusevka,46.2281,14.72048,49,535,0
Grize,45.75583,13.94361,49,412,0
Brezje v Podbocju,45.8371,15.49255,49,539,0
Brestovica pri Povirju,45.71472,13.945,49,426,0
Berkovci,46.75444,16.2925,49,260,0
Velike Kompolje,45.90677,14.82488,49,378,0
Stebljevek,46.21416,14.74672,49,575,0
Gabrno,46.15377,15.25699,49,440,0
Vodisko,46.11152,15.23891,49,369,0
Melise,46.31731,14.86297,49,421,0
Zelezne Dveri,46.49881,16.19424,49,239,0
Gabrje pod Limbarsko Goro,46.14442,14.77036,49,439,0
Cepno,45.67048,14.09369,49,599,0
Krupa,45.63784,15.23033,49,163,0
Koludrje,46.00218,15.16551,49,316,0
Korplje,46.37919,15.51391,49,288,0
Podpec ob Dravinji,46.29403,15.53966,49,307,0
Hudi Graben,46.36969,14.25575,49,1159,0
Selce,46.35636,15.2852,49,681,0
Krzeti,45.7388,14.6086,49,922,0
Sirje,46.09681,15.16186,49,448,0
Zelebej,45.64872,15.3636,49,153,0
Vrabce,45.77639,13.95944,50,491,0
Vernek,46.1,14.8,50,273,0
Polom,45.73861,14.85361,50,389,0
Kupljenik,46.33333,14.1,50,842,0
Gornje Orle,45.98333,15.33333,50,320,0
Gornja Bitnja,45.60377,14.18893,50,390,0
Dolenji Globodol,45.834,15.04746,50,199,0
Celje,45.59161,14.15464,50,611,0
Gruca,45.84576,15.37343,50,168,0
Silovec,45.99759,15.60011,50,401,0
Zece pri Bucah,46.0991,15.55836,50,351,0
Trnov Hrib,46.15291,15.18505,50,490,0
Mali Jelnik,46.17892,14.79454,50,558,0
Gersici,45.62671,15.26423,50,147,0
Dvorje,46.13676,14.70278,50,366,0
Spodnji Prekar,46.10702,14.7561,50,411,0
Gradec,45.69387,14.18367,50,590,0
Kaplja Vas,45.95937,15.18036,50,249,0
Velike Dole,45.90589,14.89626,50,338,0
Volcje Njive,45.94666,15.08349,50,236,0
Breznica pri Zireh,46.0446,14.08539,50,755,0
Spodnje Gruskovje,46.33091,15.90075,50,333,0
Ornuska Vas,45.88991,15.13129,50,383,0
Stranje pri Skocjanu,45.87388,15.30562,50,158,0
Spodnja Jablanica,46.04568,14.86819,50,295,0
Zelezno,45.88083,14.96306,51,282,0
Stara Susica,45.65167,14.13306,51,445,0
Sredisce,46.76821,16.31503,51,278,0
Novi Kot,45.62682,14.60632,51,828,0
Malo Ubeljsko,45.77194,14.07861,51,573,0
Mali Korinj,45.85111,14.79472,51,642,0
Kobilscak,46.63111,16.02722,51,250,0
Jazbina,46.46667,14.91667,51,1088,0
Golica,46.2,14.2,51,855,0
Dolenja Brezovica,45.94873,14.42918,51,379,0
Borovec pri Kocevski Reki,45.55884,14.76525,51,812,0
Boldraz,45.6726,15.3424,51,208,0
Gradno,46.0203,13.52466,51,167,0
Dolenja Vas pri Crnomlju,45.57667,15.21652,51,175,0
Velika Lahinja,45.52837,15.21798,51,235,0
Potiskavec,45.79233,14.75841,51,522,0
Praproce pri Temenici,45.96448,14.8788,51,346,0
Gozdec,46.11865,15.29788,51,416,0
Ravno Brdo,46.01656,14.69982,51,562,0
Zavrh pri Trojanah,46.18013,14.88144,51,630,0
Gabrce,46.21117,15.6063,51,270,0
Zalog pri Skocjanu,45.91002,15.26193,51,171,0
Gradisce pri Vojniku,46.28456,15.33688,51,367,0
Kovaski Vrh,46.39916,15.41314,51,611,0
Jelovec,45.76609,14.61381,51,565,0
Beli Gric,45.93926,15.12557,51,278,0
Zunici,45.48429,15.36821,51,197,0
Gorenjci pri Adlesicih,45.51228,15.3153,51,259,0
Zgornje Praprece,46.16769,14.69952,51,359,0
Vremski Britof,45.65713,14.03014,52,387,0
Sela pri Hinjah,45.79667,14.88944,52,413,0
Preserje pri Komnu,45.81833,13.73056,52,274,0
Mala Brda,45.7678,14.09733,52,566,0
Kvasica,45.54333,15.16139,52,164,0
Kilovce,45.61944,14.18635,52,539,0
Janski Vrh,46.33333,15.78333,52,310,0
Hrastnik pri Trojanah,46.18215,14.90407,52,514,0
Goriska Vas,45.83333,15.08333,52,283,0
Gorenje Selce,45.90194,14.93361,52,336,0
Gorenja Brezovica,45.92417,14.44395,52,592,0
Zasadi,46.49687,15.87942,52,327,0
Podobeno,46.14336,14.18836,52,489,0
Starod,45.49114,14.19035,52,669,0
Stranska Vas ob Visnjici,45.9347,14.79215,52,326,0
Stara Sela,46.23027,14.75589,52,869,0
Celine,45.9409,15.3763,52,325,0
Trojno,46.14893,15.26688,52,464,0
Zgornja Dobrava,46.13587,14.77761,52,397,0
Gobovce,46.2967,14.26472,52,463,0
Brezovec pri Rogatcu,46.23413,15.68293,52,231,0
Trscina,45.93439,15.21217,52,266,0
Planinca,46.17542,15.38926,52,446,0
Trno,46.16996,15.40066,52,491,0
Orehovec,46.18139,15.53336,52,318,0
Zadrze,46.22508,15.50141,52,273,0
Vavpca Vas pri Dobrnicu,45.89038,14.96878,52,305,0
Hudo,46.33765,14.26493,52,490,0
Pusce,45.8432,14.62402,52,523,0
Lozina,46.29222,15.89933,52,409,0
Sencak,46.50685,16.01574,52,272,0
Malo Globoko,45.86055,14.82398,52,306,0
Zajelsje,45.56194,14.15889,53,535,0
Volce,45.69611,14.11556,53,802,0
Truske,45.49028,13.82222,53,283,0
Topolovec,45.46556,13.81389,53,336,0
Spodnja Sveca,46.32205,15.71803,53,290,0
Rozenpelj,45.89889,14.93778,53,323,0
Rovte v Selski Dolini,46.18333,14.18333,53,716,0
Podloz,45.73306,14.46528,53,616,0
Podgric,45.78944,13.995,53,227,0
Medija,46.16006,14.85402,53,449,0
Rakitovec,46.18889,15.45778,53,291,0
Snovik,46.2343,14.71069,53,503,0
Snezece,46.00766,13.53052,53,132,0
Zice,46.18044,14.64757,53,366,0
Strmec pri Polensaku,46.43783,15.99843,53,252,0
Ledinske Krnice,46.03695,14.0694,53,777,0
Skrjance,45.92763,14.80953,53,333,0
Rudnik pri Radomljah,46.20116,14.6282,53,427,0
Krzisce,45.89821,15.3935,53,169,0
Hribi,46.1986,14.88292,53,775,0
Podmilj,46.17679,14.84395,53,486,0
V Zideh,46.18821,14.89522,53,564,0
Grm pri Podzemlju,45.62077,15.27719,53,155,0
Dragovica,46.04726,13.66461,53,584,0
Ritmerk,46.45206,16.04472,53,252,0
Breznica pod Lubnikom,46.16271,14.25463,53,756,0
Sv. Tomaz,46.18596,14.24593,53,633,0
Spodnje Vetrno,46.33793,14.32405,53,766,0
Polajna,46.37092,15.34428,53,510,0
Brnica,46.2276,15.20893,53,328,0
Lipnica,46.30512,14.21154,53,434,0
Bukov Vrh nad Visokim,46.1045,14.23262,53,749,0
Zgornje Vetrno,46.34106,14.31488,53,716,0
Zlogona Vas,46.39869,15.47193,53,530,0
Kopriva,46.5104,16.26459,53,249,0
Kuzelj,45.47732,14.81043,53,251,0
Vanetina,46.57015,15.91737,54,268,0
Spodnje Danje,46.23333,14.05,54,1049,0
Sela,45.77278,13.92639,54,360,0
Praprot,45.63925,15.21066,54,175,0
Pluzna,46.33632,13.51962,54,511,0
Paroz,46.36667,15.21667,54,709,0
Otovec,45.59304,15.16688,54,162,0
Mozjanca,46.3,14.45,54,483,0
Mali Locnik,45.88996,14.60785,54,625,0
Lipovsica,45.74778,14.66306,54,603,0
Kramarovci,46.80833,16.01167,54,319,0
Gornji Kot,45.79667,14.97056,54,201,0
Azenski Vrh,46.65401,15.94756,54,298,0
Golek,45.5379,15.18161,54,178,0
Rovt,46.0773,14.2182,54,776,0
Rodmosci,46.63421,15.96401,54,266,0
Radanja Vas,45.97802,14.88389,54,367,0
Prilesje pri Plavah,46.02543,13.59503,54,130,0
Trsek,45.48318,13.83766,54,305,0
Povceno,46.12949,15.21588,54,350,0
Strensko,46.13386,15.20159,54,328,0
Potok pri Vacah,46.11514,14.85765,54,416,0
Selo pri Pancah,46.00616,14.66247,54,529,0
Bolecka Vas,46.35104,15.80332,54,282,0
Paha,45.8534,15.20545,54,383,0
Sela pri Ratezu,45.82062,15.22665,54,204,0
Pavla Vas,45.94216,15.20357,54,350,0
Strtenik,46.36192,15.44068,54,362,0
Vrbovce,45.82556,15.36162,54,241,0
Hrusevec,46.20921,15.37804,54,313,0
Repno,46.23497,15.37323,54,280,0
Klada,45.92163,14.55585,54,464,0
Gorenje Medvedje Selo,45.92079,15.02171,54,286,0
Zidani Most,45.91336,14.98037,54,274,0
Srobotnik pri Vel. Lascah,45.82574,14.64731,54,560,0
Dolgo Brdo pri Mlinsah,46.14469,14.85998,54,564,0
Racica,46.03877,14.75293,54,507,0
Loke,45.79026,15.11194,54,172,0
Hrastnik,46.15615,14.79498,54,666,0
Velika Sevnica,45.94249,15.00009,54,330,0
Jelse pri Otoccu,45.83646,15.20404,54,198,0
Selce nad Blanco,46.01151,15.41229,54,306,0
Zeje,45.73645,14.23341,55,587,0
Vrh nad Krasnjo,46.18333,14.76667,55,647,0
Logarsce,46.15125,13.80466,55,503,0
Kalise,46.26667,14.68333,55,973,0
Dolnje Retje,45.82083,14.65056,55,601,0
Desinec,45.56064,15.23753,55,198,0
Cabrace,46.13333,14.13333,55,511,0
Brezje pri Lekmarju,46.19293,15.51484,55,364,0
Planinski Vrh,46.11651,15.44607,55,502,0
Gorica pri Raztezu,46.00556,15.52583,55,271,0
Mihelja Vas,45.61669,15.18389,55,201,0
Gorenja Vas pri Polici,46.00358,14.68776,55,584,0
Medvedica,45.90705,14.61848,55,472,0
Sidol,46.20937,14.71672,55,541,0
Slivno,46.17392,15.20728,55,505,0
Klenik,46.12338,14.84861,55,646,0
Prevalje,46.1505,14.6785,55,339,0
Pecelj,46.11458,15.58463,55,221,0
Omota,45.65705,15.21957,55,205,0
Veliki Videm,45.95165,14.94536,55,358,0
Zabava,46.1426,14.89009,55,528,0
Zabrekve,46.23898,14.23596,55,873,0
Sv. Trije Kralji v Slov. Gor.,46.60373,15.8952,55,267,0
Gajsevci,46.5344,16.1099,55,182,0
Zasadi,46.58998,16.08021,55,249,0
Dobrova pri Prihovi,46.36277,15.47519,55,324,0
Zalisec,45.86195,14.93907,55,303,0
Zabjek v Podbocju,45.858,15.45568,55,174,0
Riharjevec,46.01571,14.84206,55,382,0
Balkovci,45.45962,15.32511,55,289,0
Zasap,45.9,15.51667,56,156,0
Zagozd,46.05,15.03333,56,730,0
Vosce,46.33333,14.15,56,570,0
Potok pri Muljavi,45.8975,14.79639,56,332,0
Drenje,45.78399,15.0081,56,317,0
Dolenje Selce,45.9,14.93111,56,316,0
Vitna Vas,45.99384,15.67293,56,239,0
Borst,45.59838,15.26844,56,155,0
Jerinov Gric,45.9525,14.23,56,550,0
Goli Vrh,46.04783,14.17906,56,843,0
Coljava,45.79799,13.78417,56,251,0
Bistrica,46.10831,15.47051,56,361,0
Brstovnica,46.11622,15.22101,56,266,0
Vidanovci,46.50723,16.11622,56,240,0
Vrh Sv. Treh Kraljev,46.0142,14.1686,56,771,0
Novelo,45.84674,13.66256,56,339,0
Serjuce,46.14946,14.7546,56,434,0
Svetinje,46.46599,16.1718,56,290,0
Jercin,46.193,15.62065,56,235,0
Kocjan,46.60301,16.03515,56,238,0
Cerovec,46.0188,15.19385,56,419,0
Nadgrad,46.42125,15.44963,56,845,0
Dol pri Pristavi,46.20061,15.58268,56,220,0
Gornja Vas,46.36162,15.35475,56,486,0
Smoleva,46.20944,14.16318,56,551,0
Podgorica pri Pecah,46.13897,14.82272,56,457,0
Dolenje Laknice,45.92811,15.20925,56,230,0
Vrtoce,45.8825,13.61639,57,58,0
Velika Pristava,45.65694,14.18528,57,450,0
Srednji Globodol,45.85,15.05,57,226,0
Rozni Dol,45.68083,15.14472,57,331,0
Osredek,45.86838,14.48555,57,724,0
Ocinje,46.82389,15.99779,57,325,0
Lukacevci,46.66377,16.21043,57,182,0
Kanalski Vrh,46.06973,13.66631,57,597,0
Dobeno,45.86667,15.61667,57,342,0
Matavun,45.6625,13.99167,57,397,0
Vrhovska Vas,45.85983,15.5157,57,248,0
Vinharje,46.09949,14.18675,57,604,0
Kovcice,45.57026,14.07329,57,612,0
Podkocna,46.42185,14.0688,57,945,0
Tupelce,45.8044,13.81122,57,288,0
Stranski Vrh,46.06314,14.98087,57,731,0
Iglenik pri Veliki Loki,45.93228,14.9882,57,289,0
Veliki Vrh,45.77645,14.52822,57,815,0
Slatina pri Dobjem,46.13733,15.42165,57,583,0
Telcice,45.94312,15.2719,57,303,0
Pristava pri Sentjerneju,45.82373,15.28452,57,224,0
Strejaci,46.43494,15.98747,57,211,0
Ratkovci,46.75249,16.26898,57,261,0
Gornje Brezovo,45.99927,15.34374,57,281,0
Zasavci,46.455,16.23139,58,288,0
Sarsko,45.93813,14.55638,58,401,0
Ravno,46.12821,15.40604,58,501,0
Polje ob Sotli,46.1,15.6,58,229,0
Gregovce,45.99319,15.70044,58,151,0
Rakovec,45.92047,15.69844,58,141,0
Naklo,45.6562,13.99592,58,425,0
Kremenica,45.9556,14.55255,58,290,0
Nozed,45.49704,13.63634,58,165,0
Zakal,46.26561,14.57396,58,655,0
Drenovec pri Leskovcu,45.94089,15.41646,58,207,0
Zabukovje pri Raki,45.93511,15.35559,58,242,0
Klenovo,46.13544,15.17561,58,383,0
Padez,46.17027,15.26958,58,565,0
Poznica,46.18078,15.28589,58,550,0
Dupeljne,46.19029,14.6746,58,508,0
Hudo,45.83206,15.13479,58,222,0
Vrhe,45.7525,15.24971,58,387,0
Dolenje Podpoljane,45.80474,14.67348,58,596,0
Svinjsko,46.01224,15.11482,58,475,0
Mali Breg,46.3109,15.49759,58,279,0
Podlesje,46.16193,15.37753,58,485,0
Lekmarje,46.19157,15.50502,58,348,0
Dornice,46.17245,14.46785,58,395,0
Landek,46.33454,15.25487,58,366,0
Lesje,46.28264,15.28317,58,313,0
Razbor pri Cemseniku,46.1822,14.95754,58,677,0
Topolje,46.23594,14.22241,58,787,0
Pogled,46.69559,15.82367,58,319,0
Malence,45.86213,15.40893,58,158,0
Stojanski Vrh,45.85624,15.54026,58,214,0
Mirna Vas,45.8927,15.1983,58,417,0
Udje,45.92639,14.60528,59,350,0
Topol,45.75556,14.53167,59,723,0
Strane,45.78583,14.0875,59,656,0
Stjak,45.79556,13.9075,59,498,0
Smuka,45.76083,14.92889,59,467,0
Rozice,45.58917,13.99111,59,513,0
Pribinci,45.53333,15.26667,59,220,0
Logje,46.23528,13.4375,59,501,0
Krnci,46.73094,16.20773,59,284,0
Dobrava pri Sticni,45.97716,14.82227,59,574,0
Cresnjice,46.33333,15.35,59,786,0
Nova Vas ob Sotli,46.00562,15.70306,59,157,0
Kladje,46.08182,14.10805,59,710,0
Mikote,45.91312,15.38994,59,196,0
Zaloke,45.90511,15.4175,59,168,0
Rzisce,46.10316,14.84303,59,492,0
Krivoglavice,45.63251,15.28425,59,139,0
Dolenja Vas pri Catezu,45.96674,14.97571,59,416,0
Fara,45.75717,14.49928,59,822,0
Vesela Gora,45.97112,15.07968,59,293,0
Kal pri Krmelju,46.0235,15.12079,59,545,0
Podgorica,45.84467,14.70326,59,450,0
Zirovski Vrh Sv. Antona,46.082,14.12809,59,773,0
Velika Vas,46.1,14.73333,60,431,0
Trebese,45.47222,13.85889,60,328,0
Trebanjski Vrh,45.94917,14.98694,60,368,0
Sobrace,45.99056,14.87667,60,370,0
Prihova,46.36667,15.48333,60,308,0
Lasce,45.79056,14.94861,60,386,0
Kancevci,46.7588,16.24784,60,311,0
Gorenja Zetina,46.16667,14.15,60,954,0
Dolnji Kot,45.79306,14.97833,60,199,0
Brezovica pri Dobu,46.13096,14.65346,60,392,0
Plesivica,45.69472,13.91194,60,396,0
Dolenje Jesenice,45.97222,15.13889,60,275,0
Zadobje,46.0791,14.1943,60,837,0
Oslica,45.90798,14.78998,60,326,0
Gradisce v Tuhinju,46.23148,14.73828,60,688,0
Lukini,45.47466,13.89522,60,392,0
Babni Vrt,46.32105,14.38498,60,579,0
Brodnice,46.11375,15.27355,60,264,0
Sveti Andrej,46.13857,14.70795,60,351,0
Strmec pri Ormozu,46.42749,16.12773,60,263,0
Rovte,46.27578,14.23597,60,514,0
Stranska Vas pri Semicu,45.6232,15.22175,60,184,0
Jurjevski Dol,46.64105,15.76501,60,306,0
Podpec pri Sentvidu,46.0972,15.45309,60,483,0
Goriska Vas pri Skocjanu,45.91906,15.2747,60,185,0
Brekovice,46.02542,14.11776,60,519,0
Zakl,46.26357,15.05445,60,285,0
Belsak,46.58059,14.8562,60,708,0
Podolseva,46.43464,14.70056,60,1069,0
Hrastno,45.98902,15.11513,60,377,0
Zemelj,45.61214,15.27907,61,169,0
Suhorje,45.63799,14.10524,61,517,0
Ravne pri Smartnem,46.25,14.73333,61,853,0
Rakovec,46.2,15.48333,61,361,0
Podlog pod Bohorjem,46.08333,15.46667,61,456,0
Ojstri Vrh,46.2,14.18333,61,776,0
Nova Vas,45.84194,13.58306,61,200,0
Mali Dol,46.65,15.73333,61,322,0
Komendska Dobrava,46.23333,14.55,61,365,0
Drusce,45.96667,15.26667,61,472,0
Dane,45.73667,14.69417,61,585,0
Cetez pri Strugah,45.79778,14.75083,61,456,0
Blecji Vrh,45.98875,14.7248,61,559,0
Blate,45.69585,14.7441,61,487,0
Dolge Njive,46.06028,14.19861,61,668,0
Brezovica pri Gradinu,45.45111,13.855,61,453,0
Kladje pri Krmelju,46.03238,15.10447,61,698,0
Barbana,45.99512,13.49346,61,137,0
Potoki,46.26019,13.50548,61,634,0
Nova Gora,46.01547,14.93559,61,553,0
Dobrava,46.05464,15.17176,61,413,0
Pijavice,45.96879,15.16282,61,229,0
Srednik,46.02602,15.17068,61,467,0
Strzisce,46.0239,15.36819,61,286,0
Praprece pri Sentjerneju,45.85088,15.28119,61,183,0
Dolnje Praprece,45.94071,14.93713,61,317,0
Macji Dol,45.9559,14.92746,61,311,0
Sahovec,45.88035,14.99867,61,347,0
Prilesje,45.81997,14.6697,61,676,0
Suho,46.14587,15.39596,61,541,0
Meje,46.31906,16.01687,61,316,0
Golek pri Vinici,45.47767,15.25515,61,263,0
Spodnje Tinsko,46.16667,15.55,62,408,0
Sejanci,46.44861,16.06667,62,224,0
Poljce,46.26667,15.05,62,284,0
Navrski Vrh,46.53333,14.96667,62,466,0
Merece,45.60359,14.21176,62,447,0
Masore,46.06667,13.96667,62,749,0
Kozljek,45.84778,14.38028,62,792,0
Jesovec pri Smarju,46.21667,15.51667,62,326,0
Hudi Vrh,45.75694,14.52278,62,716,0
Glem,45.48778,13.78444,62,272,0
Dane pri Divaci,45.65222,13.98333,62,434,0
Bedenj,45.5398,15.27431,62,214,0
Kalise,46.23389,14.18472,62,851,0
Bratonecice,46.45889,16.05583,62,220,0
Grivce,45.89603,13.92497,62,413,0
Travnik,46.06913,13.99667,62,336,0
Okroglo,46.27561,14.58278,62,684,0
Podhruska,46.2243,14.67085,62,424,0
Povrsje,45.91944,15.35765,62,194,0
Sela pri Zajcjem Vrhu,45.77549,15.24935,62,334,0
Kozji Vrh,46.59617,15.29512,62,492,0
Sv. Gregor,45.78322,14.64019,62,716,0
Birna Vas,46.00056,15.17851,62,334,0
Grusce,46.29578,15.41452,62,496,0
Tajhte,46.11937,15.417,62,461,0
Gaj,46.22479,15.54888,62,266,0
Kamenik,46.20332,15.50953,62,346,0
Ravne pri Mlinsah,46.13508,14.90024,62,563,0
Drenovec,46.34616,16.07155,62,261,0
Dobrava,46.57226,16.10203,62,210,0
Jablaniske Laze,46.04249,14.90731,62,459,0
Strug,46.336,15.69608,62,268,0
Nova Gora,45.95049,15.40226,62,382,0
Spodnje Selce,46.23041,15.45058,62,275,0
Vrhovci,45.50352,15.31157,62,318,0
Cerovec pri Cresnjevcu,45.651,15.24345,62,175,0
Vratno,45.8,15.35,63,555,0
Verdun pri Ursnih Selih,45.71667,15.1,63,229,0
Ravni,45.94167,15.40523,63,237,0
Mali Osolnik,45.86028,14.605,63,566,0
Cerkljanski Vrh,46.1,14,63,932,0
Brezje pri Podplatu,46.2537,15.5743,63,243,0
Cehovini,45.80958,13.88751,63,235,0
Planina pri Raki,45.95223,15.3709,63,363,0
Dolgo Brdo,46.04587,14.72415,63,481,0
Srednja Vas-Loski Potok,45.69193,14.58891,63,744,0
Skrblje,46.3295,15.74292,63,378,0
Spodnji Kocjan,46.61004,16.03705,63,226,0
Podreber,45.66764,15.20192,63,255,0
Zerjavka,46.20449,14.40857,63,364,0
Drenik,45.94814,14.58985,63,355,0
Cesta,45.94123,14.88816,63,319,0
Dravci,46.36086,15.94924,63,226,0
Dombrava,45.89451,13.68819,63,48,0
Gabrska Gora,45.98683,14.96111,63,413,0
Selo pri Moravcah,46.13652,14.69476,63,367,0
Zgornji Otok,46.35287,14.21173,64,535,0
Zagorica pri Dobrnicu,45.86639,14.97194,64,240,0
Tremerje,46.19817,15.22539,64,350,0
Topolovci,46.73333,16.05,64,221,0
Tatinec,46.28333,14.36667,64,419,0
Sevnica,45.94501,15.02928,64,296,0
Okrog pri Motniku,46.23333,14.83333,64,1033,0
Nova Vas,45.92544,14.7443,64,563,0
Mali Lipovec,45.81667,14.99611,64,384,0
Goropeke,46.03333,14.13333,64,757,0
Gorenji Suhadol,45.78333,15.28333,64,452,0
Studenec na Blokah,45.76417,14.53361,64,747,0
Velike Gorelce,46.11425,15.31041,64,537,0
Vidovica,46.18879,15.62923,64,280,0
Blagus,46.57093,16.00719,64,240,0
Zavinek,45.90363,15.30236,64,187,0
Roce,46.11213,13.81834,64,358,0
Goljek,45.95882,14.99195,64,435,0
Trbinc,45.94939,15.05035,64,364,0
Vine,46.32769,15.25169,64,380,0
Polsina,46.1778,14.89666,64,455,0
Suhor pri Dol. Toplicah,45.75366,15.0338,64,174,0
Modraze,46.31533,15.63445,64,290,0
Zagorje,46.4771,16.07261,64,257,0
Jugorje,45.7781,15.29648,64,640,0
Breg,46.50319,14.85192,64,750,0
Dobrovlje pri Mozirju,46.31538,14.97409,64,661,0
Dolnji Ajdovec,45.83279,15.02478,64,419,0
Zgornje Gorce,46.29878,15.03292,65,306,0
Vodice,45.88222,14.08167,65,1018,0
Slavinje,45.75806,14.10389,65,549,0
Prelesje,46.0696,14.19047,65,668,0
Luza,45.90389,14.95944,65,337,0
Zgornja Jevnica,46.07389,14.72948,65,467,0
Javornik,46.23333,14.3,65,513,0
Gorenja Vas,46.08333,15.06667,65,878,0
Dolga Njiva pri Sentlovren.,45.94972,14.93083,65,303,0
Dobec,45.86742,14.33676,65,608,0
Goreljce,46.0325,15.205,65,487,0
Jezerce pri Dobjem,46.14917,15.39583,65,500,0
Setarova,46.55389,15.8325,65,232,0
Obcice,45.71306,15.07333,65,275,0
Ceplez,46.13219,14.01364,65,683,0
Rozanec,45.60647,15.16211,65,217,0
