stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2211600000902,"Jamna","",46.5646654881129,16.0231397889127,,
2211600001401,"Sveti Jurij ob Ščavnici","",46.5686396114905,16.0236779672975,,
2211600000901,"Jamna","",46.5645719019787,16.0230519127127,,
2211600001002,"Jamna Kocbek","",46.5561481690491,16.0322339802582,,
2211600001602,"Žihlava Trgovina","",46.5488654238574,16.0403840527724,,
2206300000402,"Drakovci Kovač","",46.5436607992741,16.0376108782562,,
2211600000701,"Grabšinci K","",46.5293269704776,16.0103513367779,,
2211600000801,"Grabšinci Breg","",46.5151952046669,16.0085215739767,,
2204200001401,"Senčak pri Juršincih","",46.5040152322737,16.0017960366424,,
2204200001601,"Zagorci","",46.5131689706066,15.9985475994509,,
2204200001201,"Oblaki","",46.506084117698,15.9751593888443,,
2204200000801,"Juršinci Podhostnik","",46.4958205342609,15.9640308820948,,
2204200000701,"Juršinci","",46.4863043329821,15.9680796083204,,
2209600001302,"Avtobusna postaja Ptuj","",46.4214378477102,15.8766981201461,,
2209600001401,"Bolnišnica","",46.4257844004128,15.8784947374201,,
2209600002102,"Dornavska cesta Merkur","",46.4255707217839,15.8935570315964,,
2209600002202,"Rogoznica novo Pokopališče","",46.4238052733074,15.9033877471913,,
2202400000502,"Dornava Dom","",46.4350992646749,15.9489193093944,,
2202400000401,"Dornava","",46.435405797848,15.9563989349367,,
2204200001701,"Žamenci K","",46.44112512652,15.9632643229043,,
2202400001202,"Žamenci GD","",46.4402667231655,15.9811896858854,,
2202400001102,"Slomi K","",46.444109337199,15.9932092116836,,
2202400000302,"Brezovci K","",46.4465727308676,16.0060812591724,,
2202400001002,"Prerad K","",46.4504867945004,16.0152099489326,,
2202400000601,"Lasigovci 19","",46.4529121326917,16.0219221842982,,
2208700000102,"Bresnica K","",46.442729295452,16.0308286718958,,
2208700000201,"Bresnica Trgovina","",46.4378776335356,16.0394154120566,,
2208700003402,"Podgorci 60","",46.4325227781045,16.0494026319491,,
2208700003501,"Podgorci Bombek","",46.4290385805918,16.0565580422708,,
2208700003802,"Sodinci","",46.4292708014763,16.0827599817264,,
2208700003702,"Senešci","",46.4256445338813,16.089894979011,,
2208700004401,"Velika Nedelja Trgovina","",46.4193027149543,16.1088533946589,,
2208700002702,"Mihovci pri Vel. Nedelji","",46.414232991752,16.1145588295749,,
2208700003002,"Ormož","",46.4084989440785,16.1505456623517,,
2209600000801,"Pacinje","",46.4501525872818,15.9352417040681,,
2204200001001,"Mostje","",46.4569743546748,15.9543575831287,,
2204200000102,"Gabrnik","",46.470739779645,15.9549085468246,,
2204200000201,"Gabrnik Šošterič","",46.4772457494152,15.9626265773775,,
2204200000700,"Juršinci","",46.486057821991,15.9681742418446,,
2204200000802,"Juršinci Podhostnik","",46.4954055897718,15.9641603584972,,
2204200001602,"Zagorci","",46.5132797738558,15.9990391311129,,
2211600000802,"Grabšinci Breg","",46.5151270774266,16.0086071554129,,
2211600000702,"Grabšinci K","",46.5292742711527,16.0104047986001,,
2206300000401,"Drakovci Kovač","",46.5436049001851,16.0377125226027,,
2211600001601,"Žihlava Trgovina","",46.5493609273221,16.0397699144014,,
2211600001001,"Jamna Kocbek","",46.5562804724187,16.0322877502953,,
2211600000402,"Čakova","",46.582377947338,16.0164552578815,,
2211600000602,"Grabonoš","",46.5888174917747,16.0064711523153,,
2211600000401,"Čakova","",46.5833385316307,16.0152806881669,,
2204200000202,"Gabrnik Šošterič","",46.4768961754732,15.9621135566116,,
2204200000101,"Gabrnik","",46.4715814326292,15.9552725025935,,
2204200001002,"Mostje","",46.4575452800546,15.9552717088999,,
2209600000802,"Pacinje","",46.4503105708171,15.935133007546,,
2209600001001,"Podvinci","",46.4381706283549,15.9265522815743,,
2209600001101,"Podvinci GD","",46.4316260995267,15.9160155418047,,
2209600002001,"Rogoznica","",46.4245384357858,15.8978087148578,,
2209600001402,"Bolnišnica","",46.4258612380905,15.8784002693627,,
2206300000901,"Mala Nedelja","",46.5226762283763,16.052713125934,,
2211300006602,"Zgornji Gladomes","",46.3880922309618,15.5023760422138,,
2211300005702,"Tinjska Gora","",46.3998530528348,15.4983404445461,,
2211300004601,"Sodrež","",46.4015914424578,15.4923386495154,,
2211300002401,"Malo Tinje","",46.4141315299004,15.4918451559583,,
2211300002501,"Modrič","",46.4099209512951,15.4706448216572,,
2217100001201,"Zlogona vas","",46.4013923101812,15.4698817378585,,
2211300001202,"Kebelj","",46.4114536248167,15.4551723781005,,
2211300003501,"Slovenska Bistrica","",46.3908130046429,15.5771759770028,,
2211300004101,"Slovenska Bistrica Mercator","",46.3877173463787,15.5691148971441,,
2211300003602,"Slovenska Bistrica Leonardo","",46.3839772770716,15.5646339583893,,
2211300004901,"Spodnja Ložnica K","",46.3766756466663,15.5489748187552,,
2211300004801,"Spodnja Ložnica Ipavec","",46.3784952236714,15.5388917327077,,
2211300006802,"Zgornja Ložnica K","",46.3829920029391,15.5228526216336,,
2211300001501,"Kostanjevec","",46.3942033447319,15.5195697659507,,
2211300001600,"Kostanjevec pri Slovenski Bistrici K","",46.3952036072862,15.5370648593097,,
2211300005402,"Spodnje Visole","",46.399594162908,15.5356767535916,,
2211300001602,"Kostanjevec pri Slovenski Bistrici K","",46.3951743040183,15.537114179023,,
2211300004001,"Slovenska Bistrica LD","",46.396643400415,15.5417769556643,,
2211300003702,"Slovenska Bistrica GD","",46.3961601395564,15.5494095097979,,
2211300003902,"Impol","",46.3968596608199,15.555324931368,,
